index,pdfsize,metadata size,xref Length,obj,endobj,JS,Javascript,Class
3783,95,267,93,92,92,0,0,Benign
2110,9,180,9,72,72,5,6,Malicious
2002,8,180,11,9,9,1,2,Malicious
3047,2,180,6,8,8,1,1,Malicious
418,8,250,15,19,19,0,0,Malicious
7866,10,229,27,38,38,0,0,Benign
7138,174,304,133,126,126,0,0,Benign
3395,8,251,10,19,19,0,0,Malicious
2836,3,180,8,7,6,1,1,Malicious
5077,72,262,21,6,6,0,0,Benign
5659,397,379,1511,128,128,2,3,Benign
293,16,180,10,20,20,0,0,Malicious
7456,29,298,12,28,28,0,0,Benign
6967,410,350,495,57,57,0,0,Benign
3801,42,267,59,25,25,0,0,Benign
6733,243,265,36,11,11,0,0,Benign
7434,28,298,12,43,43,0,0,Benign
1634,12,268,19,8,8,1,1,Malicious
5937,84,353,506,421,421,1,2,Benign
7718,144,250,236,329,329,0,0,Benign
4908,31,285,44,144,144,0,0,Benign
1149,4,180,17,14,14,1,1,Malicious
3101,34,435,70,68,68,0,0,Malicious
7054,131,241,42,41,41,0,0,Benign
3616,3,180,8,18,18,2,3,Malicious
3442,46,180,11,21,21,5,6,Malicious
6567,79,374,7,6,6,0,0,Benign
6191,77,379,920,61,61,0,0,Benign
6601,127,451,971,403,403,2,3,Benign
438,7,180,11,17,17,1,2,Malicious
2317,15,224,20,89,89,0,0,Malicious
1298,1,180,111113,9,9,1,2,Malicious
5846,350,400,418,463,463,30,31,Benign
4556,71,283,26,127,127,0,0,Benign
3014,5,196,13,4,4,1,1,Malicious
6079,88,385,428,92,92,0,0,Benign
6290,82,368,579,431,431,1,2,Benign
5271,89,283,27,11,11,0,0,Benign
6300,91,419,516,89,89,0,0,Benign
4201,56,319,28,27,27,0,0,Benign
4765,98,448,94,109,109,0,0,Benign
3203,9,180,9,0,1,1,0,Malicious
373,4,216,28,10,10,1,1,Malicious
3045,79,256,96,6,6,1,1,Malicious
5922,79,413,263,70,70,0,0,Benign
4594,81,262,21,31,31,0,0,Benign
7381,104,283,28,23,23,0,0,Benign
4775,77,283,24,21,21,0,0,Benign
5875,92,400,583,228,228,0,0,Benign
1790,1,180,10,8,8,1,1,Malicious
2549,47,268,73,8,8,1,1,Malicious
3210,9,180,9,18,18,0,0,Malicious
4439,71,498,683,69,69,0,0,Benign
2405,6,209,15,9,9,1,1,Malicious
5460,88,283,32,12,12,0,0,Benign
5457,69,262,21,132,132,0,0,Benign
2318,4,256,15,9,9,1,1,Malicious
1393,13,180,9,9,9,1,1,Malicious
812,32,337,28,15,15,1,1,Malicious
3504,9,180,9,10,9,2,3,Malicious
3411,9,180,9,25,25,1,2,Malicious
5125,37,298,12,25,25,0,0,Benign
6252,71,359,384,86,86,0,0,Benign
3362,5,180,10,13,13,1,2,Malicious
6248,49,388,101,105,105,2,3,Benign
4877,78,283,27,6,6,0,0,Benign
6909,277,435,131,105,105,0,0,Benign
4602,77,265,21,11,11,0,0,Benign
4574,49,532,369,6,6,0,0,Benign
7888,120,254,53,55,55,0,0,Benign
4693,34,298,12,136,136,0,0,Benign
8180,38,338,200005,9,9,1,1,Malicious
3757,50,376,65,63,63,0,0,Benign
921,4,216,28,22,22,3,4,Malicious
322,9,180,9,19,19,5,6,Malicious
4084,75,374,65,64,64,0,0,Benign
3518,7,239,10,0,1,0,0,Malicious
6330,78,387,281,185,185,0,0,Benign
3625,243,347,21,11,11,3,4,Malicious
3573,4,226,14,10,10,1,1,Malicious
6638,304,369,160,103,103,2,3,Benign
4216,83,319,49,48,48,0,0,Benign
5144,92,466,178,19,19,0,0,Benign
231,14,298,10,19,19,0,0,Malicious
2291,296,180,6,9,9,1,1,Malicious
110,8,180,10,15,15,3,4,Malicious
5278,49,574,594,6,6,0,0,Benign
6583,180,355,717,597,597,2,3,Benign
1079,26,246,10,10,10,1,1,Malicious
7200,11,260,12,11,11,0,0,Benign
1115,15,256,16,14,14,2,3,Malicious
5210,95,283,27,228,228,0,0,Benign
6885,123,353,114,130,130,0,0,Benign
1467,16,205,49,9,9,1,1,Malicious
3055,3,180,10,9,9,1,1,Malicious
2439,114,236,22,8,8,1,1,Malicious
1578,17,180,10,35,35,1,1,Malicious
7407,22,288,40,118,118,0,0,Benign
3418,62,267,33,11,11,2,3,Malicious
5770,80,367,369,181,181,2,3,Benign
1835,2,195,15,9,9,1,2,Malicious
1450,2,180,111614,9,9,1,2,Malicious
2569,6,180,16,8,8,1,1,Malicious
5440,78,262,21,36,36,0,0,Benign
3615,12,180,77,14,14,2,3,Malicious
5621,49,496,450,16,16,0,0,Benign
3945,39,299,25,24,24,0,0,Benign
6270,92,368,653,61,61,0,0,Benign
4012,51,335,36,35,35,0,0,Benign
2676,54,226,38,9,9,1,2,Malicious
5696,91,368,971,205,205,0,0,Benign
6529,4,348,27,26,26,2,3,Benign
1488,3,218,10,8,8,1,1,Malicious
5195,81,272,21,11,11,0,0,Benign
2225,3,180,111612,8,8,1,1,Malicious
8005,78,294,154,443,443,0,0,Benign
5187,73,262,21,30,30,0,0,Benign
5547,52,226,50,24,24,0,0,Benign
5960,42,358,168,110,110,2,3,Benign
7546,14,308,63,11,11,0,0,Benign
